Nom,SKU ID,Description Marketing,Image,Fournisseur,Product ID,Plan ID,GUID,Facturation,Engagement,Apps incluses,Apps type,Prix
Microsoft Viva,Microsoft-Viva-Nonprofit,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n0,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Nonprofit,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n0,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-for-Faculty,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n1,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-for-Faculty,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n1,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Learning,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n2,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Learning,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n2,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Learning-Nonprofi,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n3,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Learning-Nonprofi,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n3,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Learning-for-facu,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n4,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Learning-for-facu,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n4,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Goals-Nonprofit-S,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n5,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Goals-Nonprofit-S,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n5,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Goals-for-Faculty,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n6,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Goals-for-Faculty,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n6,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Sales-Nonprofit-S,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n7,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva-Sales-Nonprofit-S,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual-n7,,Annuel,,,,
Microsoft Viva,Microsoft-Viva-Sales-for-Faculty,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly-n8,,Mensuel,,,,
